land	place	code	place	markdig	markest	status-soon	status-later	available	politics	economy	future	work	prices	currency	family	culture	society	educatuion	activity	world	transport	nature	languages
страна	место	код	место	оценка_взвеш	оценка_общая	статус_скоро	статус_потом	доступность	политика	экономика	перспективы	работа	цены	валюта	семья	культура	общество	образование	активность	мир	транспорт	природа	языки
					4	3	3	3	1	2	2	2	2	2	2	2	2	2	2	1	1	2	1
США	Новая Англия	US-NEng	1	95	4	2	4	3	3	4	3	3	2	4	4	4	3	4	4	4	3	4	3
США	Калифорния	US-CA	2	91	4	2	4	3	3	3	3	3	2	4	4	4	3	4	4	4	3	3	3
Канада	Торонто	CA-GTA	3	89	4	2	3	2	4	3	2	3	2	3	4	4	4	4	4	4	3	3	3
Канада	Квебек	CA-QUE	4	89	4	2	3	2	4	3	2	3	2	3	4	4	4	4	4	4	3	3	3
Австралия	везде	AU	5	59	1	1	2	2	3	3	3	2	2	2	3	2	2	3	3	2	2	3	3
Канада	Ванкувер	CA-VAN	6	87	4	2	3	2	4	3	2	3	2	3	4	4	3	4	4	4	3	3	3
США	Средний Запад	US-MW	7	89	4	2	4	3	3	3	3	3	2	4	4	3	3	3	4	4	3	4	3
США	северо-запад	US-NW	8	89	4	2	4	3	3	3	3	3	2	4	4	3	3	4	4	4	3	3	3
Финляндия	Турку	FI-TUR	9	87	4	2	4	3	3	3	2	3	3	3	4	3	3	4	4	4	3	3	3
Финляндия	Тампере	FI-TAM	10	87	4	2	4	3	3	3	2	3	3	3	4	3	3	4	4	4	3	3	3
Финляндия	Лахти	FI-LAH	11	87	4	2	4	3	3	3	2	3	3	3	4	3	3	4	4	4	3	3	3
Австрия	везде	AT	12	86	4	2	3	3	3	3	2	3	2	3	3	4	3	4	4	3	3	3	3
Бельгия	везде	BE	13	86	4	2	3	3	3	3	2	3	3	3	3	4	3	4	4	3	3	3	3
Люксембург	везде	LU	14	88	4	2	3	3	3	3	3	3	2	3	3	4	3	4	4	3	3	3	3
Нидерданды	везде	NL	15	86	4	2	3	3	3	3	2	3	2	3	3	4	3	4	4	3	3	3	3
Чехия	везде	CZ	16	88	4	2	3	2	3	3	3	3	3	2	3	4	3	3	4	3	3	4	3
Швейцария	везде	CH	17	88	4	2	3	2	3	3	3	2	2	4	3	4	3	4	4	3	3	3	3
Новая Зеландия	везде	NZ	18	87	4	2	3	2	4	3	3	3	2	3	4	3	3	4	4	2	3	3	3
Финляндия	Хельсики, столица	FI-HEV	19	85	3	2	4	3	3	3	2	2	2	3	4	4	3	4	4	4	3	3	3
Россия	Санкт-Петербург	RU-SPB	20	83	3	4	4	4	2	1	2	2	2	2	4	4	3	3	3	2	3	3	4
Россия	Москва	RU-MSK	21	83	3	4	4	4	2	1	2	2	2	2	4	4	3	3	3	2	3	3	4
Финляндия	Оулу, север	FI-NOR	22	83	3	2	4	3	3	3	2	3	3	3	4	3	3	4	4	4	3	3	3
Дания	везде	DK	23	82	3	2	3	3	3	3	2	3	2	3	3	4	3	4	4	3	3	3	3
Норвегия	везде	NO	24	82	3	2	3	3	3	3	2	3	2	4	3	4	3	4	4	3	3	3	3
Швеция	Стокгольм	SE-STO	25	82	3	2	3	3	3	3	2	3	2	3	4	4	3	4	4	4	3	3	3
Канада	прочее	CA-X	26	81	4	2	3	2	4	3	2	2	2	3	4	3	3	3	4	4	3	2	3
Болгария	везде	BG	27	80	3	3	4	4	3	2	2	2	3	2	3	3	3	3	3	2	3	3	3
Германия	везде	DE	28	80	3	2	3	3	3	3	2	3	2	3	3	4	2	4	4	3	3	3	3
Швеция	Гётеборг	SE-GET	29	80	3	2	3	3	3	3	2	3	3	3	4	4	3	3	4	4	3	3	3
Россия	Новосибирск	RU-NSK	30	79	3	4	4	4	2	1	2	2	2	2	4	2	3	3	3	2	3	3	4
Швеция	Мальмё	SE-MAL	31	78	3	2	3	3	3	3	2	3	3	3	4	3	3	3	4	4	3	3	3
США	юго-восток	US-SE	32	77	3	2	4	3	3	3	2	3	3	4	4	3	2	3	3	4	3	3	3
Белоруссия	везде	BY	33	77	2	4	4	4	2	2	2	2	2	2	3	3	3	2	3	2	3	3	4
Словакия	везде	SK	34	76	3	2	3	3	3	3	2	3	3	3	4	3	3	3	3	3	3	3	3
Россия	Челябинск	RU-CHE	35	73	2	4	4	4	2	1	1	2	2	2	4	2	3	3	3	2	3	3	4
Швеция	север	SE-NOR	36	74	3	2	3	3	3	3	2	3	3	3	4	2	3	2	4	4	3	3	3
Великобритания	везде	GB	37	73	2	2	2	2	3	3	2	3	2	4	3	4	3	4	3	3	3	3	3
Словения	везде	SI	38	72	3	2	3	3	3	2	2	3	3	3	4	3	3	2	3	3	3	3	3
США	север	US-NT	39	71	3	2	4	3	3	2	2	2	3	4	4	2	2	2	3	4	3	3	3
США	юг	US-SS	40	69	2	2	4	3	3	2	1	2	3	4	4	3	2	3	3	4	3	3	3
Польша	везде	PL	41	70	2	2	3	3	3	2	2	2	2	3	3	3	3	3	3	2	3	3	3
Россия	Чебаркуль	RU-CHB	42	67	2	4	4	4	2	1	1	2	2	2	4	1	2	3	2	2	3	3	4
Португалия	везде	PT	43	68	2	2	3	3	3	2	2	2	2	3	3	3	2	3	3	3	3	3	3
Франция	везде	FR	44	68	2	2	3	3	3	2	2	2	2	3	3	3	2	3	3	3	3	3	3
Венгрия	везде	HU	45	67	2	2	3	3	3	2	2	2	3	2	3	3	2	3	3	2	3	3	2
Израиль	везде	IL	46	66	3	2	2	2	2	3	2	2	2	2	3	3	2	3	2	2	3	2	3
Корея Южная	везде	KR	47	68	3	2	2	2	3	3	3	3	2	3	3	2	2	3	3	3	3	2	2
Испания	везде	ES	48	66	2	2	3	3	3	2	2	2	2	2	3	3	2	3	3	3	3	2	3
Латвия	везде	LV	49	65	2	2	3	3	3	2	2	2	2	2	3	3	2	2	3	3	3	3	2
Литва	везде	LT	50	65	2	2	3	3	3	2	2	2	2	2	3	3	2	2	3	3	3	3	2
США	Великие равнины	US-GP	51	63	2	2	4	3	3	2	1	1	2	4	4	2	2	2	3	4	3	2	3
Эстония	везде	EE	52	63	2	2	3	3	3	2	2	2	2	2	3	3	2	2	2	3	3	3	2
США	прочее	US-X	53	60	2	2	4	3	3	2	1	1	2	4	3	2	2	2	2	4	2	2	3
Италия	везде	IT	54	61	2	2	3	3	3	2	2	2	2	2	3	3	1	3	2	3	3	2	2
Греция	везде	GR	55	53	1	2	3	3	3	1	1	1	1	1	3	3	2	2	2	2	3	2	2
Румыния	везде	RO	56	53	1	2	3	3	2	1	1	1	2	2	3	2	2	2	2	2	3	3	3
Китай	везде	CN	57	53	2	1	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2
Украина	везде	UA	58	38	0	0	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3
Югославия, бывшая	везде	YUG	59	37	1	1	1	2	1	1	2	2	2	2	3	1	2	1	1	2	2	3	2
Южная Америка	везде	SAM	60	31	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1
ЮВ-Азия	везде	SEA	61	30	1	0	0	2	1	2	2	2	2	2	2	1	1	1	1	2	2	3	1
Кавказ	везде	KAV	62	25	0	0	0	2	1	1	1	1	3	1	2	2	1	1	1	2	2	3	2
везде	везде	XXX	63	25	0	0	0	2	1	1	1	2	2	1	2	1	2	1	2	1	2	2	2
Африка	везде	AFR	64	19	0	0	0	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1